"id","acelX","acelY","acelZ","girX","girY","girZ","idTipoMovimento","mag"
9949,3465.0,-2115.0,986.0,5168.0,-3162.0,3266.0,2,-4032.0
9950,3131.0,-1980.0,418.0,5120.0,1207.0,13692.0,2,12110.0
9951,1438.0,-588.0,3494.0,5104.0,1932.0,-2646.0,2,-3391.0
9952,1281.0,-326.0,4320.0,5120.0,-5826.0,-5113.0,2,-4015.0
9953,1365.0,-840.0,2588.0,5072.0,1590.0,-1217.0,2,10230.0
9954,1300.0,-348.0,3661.0,5184.0,1175.0,478.0,2,159.0
9955,1726.0,-1172.0,3920.0,5136.0,-258.0,668.0,2,-4814.0
9956,1188.0,-396.0,2713.0,5104.0,-134.0,-2460.0,2,9068.0
9957,757.0,-627.0,3286.0,5136.0,-838.0,-2257.0,2,618.0
9958,1624.0,-1105.0,4557.0,5104.0,-1017.0,2729.0,2,-3096.0
9959,1005.0,-37.0,2972.0,5168.0,457.0,-5091.0,2,10081.0
9960,739.0,-736.0,3814.0,5120.0,-2584.0,-2510.0,2,-4051.0
9961,1283.0,-1153.0,5356.0,5136.0,5988.0,5437.0,2,2431.0
9962,994.0,-226.0,4002.0,5184.0,-1050.0,2092.0,2,-5514.0
9963,332.0,-640.0,3148.0,5184.0,-2845.0,-350.0,2,-14398.0
9964,1315.0,-285.0,3626.0,5104.0,1555.0,2963.0,2,-1922.0
9965,1527.0,-244.0,4814.0,5232.0,-203.0,763.0,2,827.0
9966,1673.0,-477.0,2997.0,5200.0,406.0,-1391.0,2,-1608.0
9967,1260.0,-152.0,3385.0,5136.0,-4283.0,-6678.0,2,8875.0
9968,-426.0,-1389.0,4243.0,5120.0,-2128.0,487.0,2,-29856.0
9969,696.0,-759.0,3630.0,5200.0,-1946.0,686.0,2,-13629.0
9970,1975.0,-388.0,3223.0,5120.0,-4448.0,-265.0,2,-7719.0
9971,1033.0,-645.0,3274.0,5168.0,11175.0,3609.0,2,15672.0
9972,1149.0,-268.0,4266.0,5184.0,-2194.0,1775.0,2,-2284.0
9973,1010.0,6.0,4346.0,5232.0,10609.0,-1046.0,2,1767.0
9974,998.0,-455.0,2938.0,5120.0,-7365.0,-5687.0,2,-6615.0
9975,1775.0,-1056.0,3473.0,5104.0,8739.0,6738.0,2,-1925.0
9976,1781.0,-528.0,3553.0,5104.0,10556.0,4337.0,2,2531.0
9977,1322.0,-483.0,2466.0,5200.0,-8359.0,-6038.0,2,-5238.0
9978,1815.0,-734.0,3085.0,5136.0,8913.0,5663.0,2,-1610.0
9979,1940.0,-516.0,2926.0,5184.0,3835.0,4307.0,2,6593.0
9980,1225.0,-404.0,2750.0,5200.0,-7048.0,-4473.0,2,-4455.0
9981,1729.0,-359.0,3356.0,5184.0,3649.0,6828.0,2,-1663.0
9982,1469.0,-91.0,3581.0,5184.0,6543.0,6106.0,2,174.0
9983,920.0,-922.0,2923.0,5200.0,-9804.0,-6847.0,2,-1104.0
9984,1641.0,-871.0,3880.0,5200.0,5782.0,4797.0,2,-2352.0
9985,2135.0,-532.0,4152.0,5120.0,4275.0,8777.0,2,-10476.0
9986,591.0,-1051.0,3605.0,5168.0,353.0,2614.0,2,-5683.0
9987,1400.0,-612.0,3529.0,5248.0,883.0,53.0,2,-1889.0
9988,1267.0,-662.0,4164.0,5120.0,-2885.0,3778.0,2,-5851.0
9989,1635.0,-671.0,4117.0,5200.0,13842.0,8079.0,2,4228.0
9990,787.0,-525.0,3292.0,5184.0,-5102.0,-1053.0,2,-10361.0
9991,1162.0,-793.0,2777.0,5168.0,-775.0,-569.0,2,94.0
9992,1280.0,-96.0,4310.0,5120.0,-301.0,-2206.0,2,7171.0
9993,1244.0,-902.0,4147.0,5184.0,-4536.0,-2573.0,2,-3372.0
9994,1189.0,-679.0,2830.0,5200.0,3820.0,-1406.0,2,9522.0
9995,633.0,-219.0,4173.0,5200.0,-2686.0,-3837.0,2,197.0
9996,562.0,-1072.0,4163.0,5184.0,-2490.0,-1573.0,2,-15155.0
9997,1017.0,-280.0,3139.0,5120.0,-3834.0,-65.0,2,6566.0
